asin,parent_asin,main_category,subcategory,title,score
B00BUFJBQS,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",3.878524360012743e-06
B01AUBYMK2,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),7.318199695606325e-07
B00LGEKOMS,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),1.678886657168029e-15
B00434EMBM,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",7.00615467363359e-16
B000DLB2FI,B000DLB2FI,Amazon Home,Reusable Filters,Keurig My K-Cup Reusable Coffee Filter - Old Model,6.410094489115632e-16
B0045LLC7K,B0045LLC7K,Appliances,Water Filters,"Frigidaire WF3CB Puresource3 Refrigerator Water Filter , White, 1 Count (Pack of 1)",3.601035659669878e-16
B08TRCBMN9,B092LLM7H3,Grocery,Reusable Filters,Reusable coffee pods for Coffee Makers (4 PACK Black and Purple),2.1194973153256652e-16
B0001IRRLG,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",1.7461047755239403e-16
B01DP1IWKU,B092LLM7H3,Grocery,Reusable Filters,Reusable coffee pods for Coffee Makers (4 PACK Black and Purple),1.0215997104753005e-16
B01GAGM62M,B0B3DB5HTC,Amazon Home,Disposable Filters,12 Pack Keurig Filter Replacement by K&J - Compatible with Keurig Coffee Machine (2.0 and older),5.974945431774294e-17
