asin,parent_asin,main_category,subcategory,title,similar user_id,score
B00BUFJBQS,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AE6OIQD2NCZH75MBGXG3KHHZ7VTQ,0.5
B06X9RFT2J,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AE52GPMH6YF7HQMRWALACH3BBNBQ,0.5
B01AUBYMK2,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AEGFZFHGDBGIO77M2VSZOYLPMSRA,0.5
B06XDR1DCY,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AE6OIQD2NCZH75MBGXG3KHHZ7VTQ,0.5
B00LGEKOMS,B07RNJY499,Amazon Home,Reusable Filters,iPartPlusMore Reusable Coffee Filters Compatible with 1.0 and 2.0 Keurig Single Cup Coffee Maker - BPA-Free Stainless Steel Refillable K Cup Coffee Filter with Fine Mesh Screen (Pack of 4),AE5MCZGKGW5BCO437LRGRUHMK5RQ,0.4
B0001IRRLQ,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AEGHRMGHNK2723AIUD3JHXYO3FQQ,0.4
B0001IRRLG,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AE6HYBNWZFMX3QTIL5LY2H4AT5JQ,0.2
B000TETMVK,B0BHNSLKNZ,Amazon Home,Permanent Filters,"Cuisinart Replacement Water Filters, 2-Pack",AET7FZPX2BX2NKCSVU6WJM52PUGA,0.0
B00888OEQW,B07P3Y8JWY,Amazon Home,Reusable Filters,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",AEOXHWGKQ63IJ3BRSBDAXQQ3SG4A,0.0
B000DLB2FI,B000DLB2FI,Amazon Home,Reusable Filters,Keurig My K-Cup Reusable Coffee Filter - Old Model,AE6JZUKDILHPDYAS4NCSW7IOVZSQ,0.0
